Time (ET),Block,Description,On Camera (Hosts),Producer Cue
1:00-1:05 PM,Cold Open,Welcome / mission / sponsor title card / "Zap BFTA" QR call to action / explain artist tip jar,Podcaster A,Roll intro reel + persistent BFTA donation QR + sponsor lower-third
1:05-1:27 PM,Artist 1,Interview + showcase (Music) - artist tip jar shown throughout segment,Podcaster A + Artist 1,Artist intro graphic + secondary lower-third "Tip Artist 1 directly: [LN address]"
1:27-1:30 PM,Zap Break #1,Live BFTA zap leaderboard + Title sponsor 30s segment,Podcaster A,Donation overlay full-screen (BFTA QR)
1:30-1:52 PM,Artist 2,Interview + showcase (Music) - artist tip jar shown throughout segment,Podcaster A + Artist 2,Tip jar lower-third visible throughout segment "Tip Artist 2 directly: [LN address]"
1:52-1:55 PM,Zap Break #2,BFTA zap highlights + Supporting sponsor read,Podcaster A,
1:55-2:17 PM,Artist 3,Interview + showcase (Visual Art) - artist tip jar shown throughout segment,Podcaster A + Artist 3,Visual art screenshare + tip jar lower-third
2:00-2:05 PM,**Host overlap**,Podcaster B joins on-camera; A introduces B and plugs A's show before signing off,Podcaster A + B,Lower-third updates A's show name → B's show name
2:17-2:20 PM,Zap Break #3,BFTA zap leaderboard,Podcaster B (now solo on-camera),
2:20-2:42 PM,Artist 4,Interview + showcase (Dance) - artist tip jar shown throughout segment,Podcaster B + Artist 4,Tip jar lower-third
2:42-2:45 PM,Zap Break #4,BFTA donation milestone + Friend sponsor scroll,Podcaster B,
2:45-3:00 PM,**Host overlap**,Podcaster C joins; B plugs B's show before signing off,Podcaster B + C,Lower-third updates B → C
2:45-3:07 PM,Artist 5,Interview + showcase (Theater) - artist tip jar shown throughout segment,Podcaster B + C + Artist 5,Tip jar lower-third
3:07-3:10 PM,Zap Break #5,BFTA zap leaderboard,Podcaster C,
3:10-3:32 PM,Artist 6,Interview + showcase (Film) - artist tip jar shown throughout segment,Podcaster C + Artist 6,Film clip playback + tip jar lower-third
3:32-3:35 PM,Zap Break #6,Title sponsor 30s segment,Podcaster C,
3:35-3:57 PM,Artist 7,Interview + showcase (Writing) - artist tip jar shown throughout segment,Podcaster C + Artist 7,Tip jar lower-third
3:45-3:50 PM,**Host overlap**,Podcaster D joins; C plugs C's show before signing off,Podcaster C + D,Lower-third updates C → D
3:57-4:00 PM,Zap Break #7,BFTA zap leaderboard + Supporting read,Podcaster D,
4:00-4:22 PM,Artist 8,Interview + showcase (Music) - artist tip jar shown throughout segment,Podcaster D + Artist 8,Tip jar lower-third
4:22-4:25 PM,Zap Break #8,BFTA donation milestone,Podcaster D,
4:25-4:47 PM,Artist 9,Interview + showcase (Visual Art) - artist tip jar shown throughout segment,Podcaster D + Artist 9,Tip jar lower-third
4:47-4:50 PM,Zap Break #9,Friend sponsor scroll,Podcaster D,
4:50-5:00 PM,Closing Showcase + Wrap,Closing artist 10 + day total raised for BFTA + Sunday tease + final donation push,Podcaster D + Artist 10,Roll donor scroll + Sunday promo + persistent BFTA QR
PERSISTENT BROADCAST OVERLAY,Always on,**BFTA Lightning donation QR** in lower corner of screen for the entire 4 hours,,All zaps default to BFTA. Artist tip jar is secondary lower-third only during their segment.
