Time (ET),Block,Description,On Site,Notes
4:00-6:00 PM,Producer Setup,Producer + venue + A/V load-in,Producer + 1-2 Volunteers + venue A/V,Sound check / lighting check / projector check
5:00-6:30 PM,Performer Tech Rehearsal,Broadway headliner + 2-3 supporting performers run through their pieces,Performers + Producer + A/V,
6:00-6:30 PM,Sponsor Setup,Sponsor signage / step-and-repeat / silent auction lots laid out,Director + Volunteer 2,Each lot has a printed bid card incl. Title Sponsor's named lot
6:30-7:00 PM,Doors Open,Early arrivals + sponsor reception,Director + Sponsor reps,Reserved seats marked
7:00-7:15 PM,Welcome,MC opens / mission statement / thank-you to sponsors and 21 broadcast artists,MC (Director or anchor podcaster),Title sponsor named in the welcome
7:15-8:30 PM,Cocktail Hour + Silent Auction Opens,Live music background / auction bidding open / sponsor reception / artist networking,Background musicians + sponsor reps + attendees,Auction bid cards on each lot - Title Sponsor's lot prominently displayed
8:30-9:30 PM,Live Performances,3 supporting performances by featured artists from the weekend (musicians / dancers / poets),Featured artists + MC,
9:30-10:00 PM,Broadway Headliner,Headline performance by Broadway-caliber performer,Broadway headliner + MC intro,The draw - cleared schedule because Broadway is dark Monday
10:00-10:30 PM,Silent Auction Closes + Awards,Auction bidding closes / winners named / Title Sponsor named lot called out,MC + Director,Each winner publicly named including Title Sponsor's lot winner
10:30-11:00 PM,Closing Remarks + Thank You,MC closes / commits to next event / final sponsor list scroll,MC + Director,
11:00-12:00 AM,Wrap + Settle,Auction settle (collect payments) + load-out + thank you to performers,Director + Producer + Volunteers,Photographer captures wrap shots
