Sponsor / Company,Type (Bitcoin Native / Arts / Other),Tier Targeted,Cash Ask (USD),In-Kind Ask,Primary Contact Name,Email / Handle,Intro Source,Date First Contacted,Last Touch Date,Status,Probability %,Expected Close Date,Notes / Next Step
[Example: Pubkey NYC],Bitcoin Native,Supporting + Venue In-Kind,5000,Sunday finale venue 6pm-12am,[Events contact],[Email],Cold outreach,,,Not contacted,40,,Send intro email re: Sunday finale
[Example: Strike],Bitcoin Native,Title,25000,,[VP Marketing],[Email],Warm intro from board member,,,Not contacted,20,,Need warm intro
[Example: Cash App / Block],Bitcoin Native,Title or Supporting,10000-25000,,,,,,,Not contacted,15,,
[Example: Swan Bitcoin],Bitcoin Native,Supporting,10000,,,,,,,Not contacted,25,,
[Example: River Financial],Bitcoin Native,Supporting,10000,,,,,,,Not contacted,20,,
[Example: Casa],Bitcoin Native,Friend,5000,,,,,,,Not contacted,30,,
[Example: Unchained],Bitcoin Native,Friend,5000,,,,,,,Not contacted,25,,
[Example: Foundation Devices],Bitcoin Native,Friend or In-Kind hardware wallets,5000,Hardware wallets for 21 artists,,,,,,Not contacted,30,,
[Example: COLDCARD / Coinkite],Bitcoin Native,Friend,5000,,,,,,,Not contacted,25,,
[Example: BTCPay Server / Vendor],Bitcoin Native,In-Kind,0,Hosting + Lightning routing,,,,,,Not contacted,40,,
[Example: Local NYC arts gallery],Arts,Friend,5000,,,,,,,Not contacted,15,,
[Add your own],,,,,,,,,,Not contacted,,,
[Add your own],,,,,,,,,,Not contacted,,,
[Add your own],,,,,,,,,,Not contacted,,,
[Add your own],,,,,,,,,,Not contacted,,,
TOTALS,,,,,,,,,,,,,
