Podcaster / Show Name,Host Name,Archetype,Audience Size (Est),Bitcoin / Nostr Native?,Contact Method,Handle / Email,Intro Source,Date Contacted,Last Touch,Status,Day Targeted (Sat / Sun / Either),Slot (Lead / Co-Host),Backup?,Notes / Next Step
[Example: Plebchain Radio adjacent host],,Bitcoin + Culture,5000-10000,Yes,Nostr DM,,Direct,,,Not contacted,Either,Lead,No,High priority - perfect ethos fit
[Add target podcaster #1],,Bitcoin + Culture,,Yes,,,,,,Not contacted,,,,
[Add target podcaster #2],,Bitcoin + Arts,,Yes,,,,,,Not contacted,,,,
[Add target podcaster #3],,Bitcoin Generalist,,Yes,,,,,,Not contacted,,,,
[Add target podcaster #4],,Bitcoin Generalist,,Yes,,,,,,Not contacted,,,,
[Add target podcaster #5],,Lightning / V4V,,Yes,,,,,,Not contacted,,,,
[Add target podcaster #6],,Lightning / V4V,,Yes,,,,,,Not contacted,,,,
[Add target podcaster #7],,Nostr-Native,,Yes,,,,,,Not contacted,,,,
[Add target podcaster #8],,Nostr-Native,,Yes,,,,,,Not contacted,,,,
GOAL,,,,,,,,,,2 confirmed Sat + 2 confirmed Sun + 2 backups,,,,
